                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95205,                0.65585,                0.95847,                 0.6158,                0.46349,                0.50798,                0.28742,                 1.2674,                 1.0826,                 1.1183,             0.00013864,             0.00013864,             0.00013864
                     36,                0.95291,                 0.6594,                 0.9595,                0.61234,                0.48603,                0.51608,                 0.2879,                 1.2487,                 1.0623,                 1.1111,             0.00013072,             0.00013072,             0.00013072
                     37,                0.94628,                0.64851,                0.95452,                0.57647,                0.49421,                0.50248,                0.28083,                 1.2225,                 1.0748,                 1.1009,              0.0001228,              0.0001228,              0.0001228
                     38,                0.93958,                0.63826,                 0.9536,                 0.6442,                0.45658,                0.50525,                 0.2838,                 1.2272,                 1.0284,                 1.0975,             0.00011488,             0.00011488,             0.00011488
                     39,                0.92795,                0.63069,                0.95086,                0.63346,                0.47556,                0.50715,                0.28661,                 1.2447,                 1.0644,                 1.1073,             0.00010696,             0.00010696,             0.00010696
                     40,                0.93547,                0.62855,                0.94642,                0.65823,                0.46987,                0.51031,                0.29416,                 1.2262,                 1.0846,                 1.1027,              9.904e-05,              9.904e-05,              9.904e-05
                     41,                0.91303,                0.57274,                0.93022,                0.64175,                0.45706,                0.50716,                0.29062,                 1.2435,                 1.0759,                 1.1063,              9.112e-05,              9.112e-05,              9.112e-05
                     42,                0.89723,                0.55781,                0.92321,                0.55389,                0.43678,                0.50051,                0.28202,                 1.2523,                  1.103,                 1.1131,               8.32e-05,               8.32e-05,               8.32e-05
                     43,                0.88397,                0.54222,                0.91743,                0.63351,                0.47087,                0.50126,                0.29197,                 1.2501,                 1.1196,                 1.1131,              7.528e-05,              7.528e-05,              7.528e-05
                     44,                0.87909,                0.53472,                0.91453,                0.60908,                0.48604,                0.50457,                0.28987,                 1.2283,                 1.1023,                 1.1043,              6.736e-05,              6.736e-05,              6.736e-05
                     45,                0.86622,                0.52046,                0.91322,                0.59507,                 0.5097,                0.51039,                0.29613,                 1.2418,                 1.0743,                 1.1118,              5.944e-05,              5.944e-05,              5.944e-05
                     46,                0.85761,                0.51502,                0.90676,                0.58548,                0.50666,                0.50678,                0.29271,                 1.2417,                 1.0886,                  1.112,              5.152e-05,              5.152e-05,              5.152e-05
                     47,                0.84159,                0.50513,                0.90633,                0.61479,                0.49939,                0.51487,                 0.2995,                 1.2283,                 1.0938,                 1.1082,               4.36e-05,               4.36e-05,               4.36e-05
                     48,                0.84124,                0.49992,                0.90132,                0.60539,                0.47495,                0.50844,                0.29085,                 1.2493,                 1.1011,                 1.1139,              3.568e-05,              3.568e-05,              3.568e-05
                     49,                0.84089,                0.49779,                0.90273,                0.59929,                 0.4852,                0.50326,                  0.288,                  1.246,                 1.1069,                 1.1166,              2.776e-05,              2.776e-05,              2.776e-05
                     50,                0.82789,                 0.4881,                0.89581,                0.60603,                0.47727,                 0.5006,                0.28495,                 1.2486,                 1.1022,                  1.119,              1.984e-05,              1.984e-05,              1.984e-05
